"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"reprex","reprex","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.1",NA,"R (>= 3.6)","callr (>= 3.6.0), cli (>= 3.2.0), clipr (>= 0.4.0), fs, glue,
knitr (>= 1.23), lifecycle, rlang (>= 1.0.0), rmarkdown,
rstudioapi, utils, withr (>= 2.3.0)",NA,"covr, fortunes, miniUI, rprojroot, sessioninfo, shiny,
spelling, styler (>= 1.2.0), testthat (>= 3.2.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"reshape","reshape","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8.9",NA,"R (>= 2.6.1)","plyr",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"reshape2","reshape2","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.4",NA,"R (>= 3.1)","plyr (>= 1.8.1), Rcpp, stringr","Rcpp","covr, lattice, testthat (>= 0.8.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"restfulr","restfulr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.0.15",NA,"R (>= 3.4.0), methods","XML, RCurl, rjson, S4Vectors (>= 0.13.15), yaml",NA,"getPass, rsolr, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"reticulate","reticulate","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.40.0",NA,"R (>= 3.5)","Matrix, Rcpp (>= 1.0.7), RcppTOML, graphics, here, jsonlite,
methods, png, rappdirs, utils, rlang, withr","Rcpp","callr, knitr, glue, cli, rmarkdown, pillar, testthat",NA,"Apache License 2.0",NA,NA,NA,NA,"yes","4.4.2"
"rex","rex","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.1",NA,NA,"lazyeval",NA,"covr, dplyr, ggplot2, Hmisc, knitr, magrittr, rmarkdown,
roxygen2, rvest, stringr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"Rglpk","Rglpk","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.6-5.1",NA,"slam (>= 0.1-9)",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.0"
"RhpcBLASctl","RhpcBLASctl","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.23-42",NA,NA,NA,NA,NA,NA,"AGPL-3",NA,NA,NA,NA,"yes","4.4.0"
"rio","rio","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.3",NA,"R (>= 4.0)","tools, stats, utils, foreign, haven (>= 1.1.2), curl (>= 0.6),
data.table (>= 1.11.2), readxl (>= 0.1.1), tibble, writexl,
lifecycle, R.utils, readr",NA,"datasets, bit64, testthat, knitr, magrittr, clipr, fst,
hexView, jsonlite, pzfx, readODS (>= 2.1.0), rmarkdown, rmatio,
xml2 (>= 1.2.0), yaml, qs, arrow (>= 0.17.0), stringi, withr,
nanoparquet",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"risksetROC","risksetROC","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.4.1",NA,"R (>= 2.10), survival, MASS",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"rjags","rjags","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4-16",NA,"R (>= 2.14.0), coda (>= 0.13)",NA,NA,"tcltk",NA,"GPL (== 2)",NA,NA,NA,NA,"yes","4.4.2"
"rJava","rJava","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-11",NA,"R (>= 3.6.0), methods",NA,NA,NA,NA,"LGPL-2.1",NA,NA,NA,NA,"yes","4.4.0"
"rjson","rjson","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.2.23",NA,"R (>= 4.0.0)",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.4.1"
"rlang","rlang","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.4",NA,"R (>= 3.5.0)","utils",NA,"cli (>= 3.1.0), covr, crayon, fs, glue, knitr, magrittr,
methods, pillar, rmarkdown, stats, testthat (>= 3.0.0), tibble,
usethis, vctrs (>= 0.2.3), withr","winch","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"rmarkdown","rmarkdown","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.29",NA,"R (>= 3.0)","bslib (>= 0.2.5.1), evaluate (>= 0.13), fontawesome (>=
0.5.0), htmltools (>= 0.5.1), jquerylib, jsonlite, knitr (>=
1.43), methods, tinytex (>= 0.31), tools, utils, xfun (>=
0.36), yaml (>= 2.1.19)",NA,"digest, dygraphs, fs, rsconnect, downlit (>= 0.4.0), katex
(>= 1.4.0), sass (>= 0.4.0), shiny (>= 1.6.0), testthat (>=
3.0.3), tibble, vctrs, cleanrmd, withr (>= 2.4.2), xml2",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"rms","rms","C:/Users/zhouy/AppData/Local/R/win-library/4.4","6.8-2",NA,"R (>= 4.4.0), Hmisc (>= 5.1-0)","methods, survival, quantreg, ggplot2, SparseM, rpart, nlme (>=
3.1-123), polspline, multcomp, htmlTable (>= 1.11.0),
htmltools, MASS, cluster, digest, colorspace, knitr, grDevices",NA,"boot, tcltk, plotly (>= 4.5.6), mice, rmsb, nnet, VGAM,
lattice, kableExtra",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"rnaturalearth","rnaturalearth","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.1",NA,"R (>= 3.1.1)","httr (>= 1.1.0), jsonlite, sf (>= 0.3-4), terra, utils (>=
3.2.3)",NA,"devtools (>= 1.10.0), dplyr, ggplot2, ggrepel, knitr (>=
1.12.3), lifecycle (>= 1.0.3), pbapply, purrr, rlang,
rmarkdown, rnaturalearthdata (>= 0.1.0), rnaturalearthhires (>=
0.1.0), testthat (>= 0.9.1), tmap",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"rngtools","rngtools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.5.2",NA,"R (>= 3.2.0), methods","digest, utils, stats, parallel",NA,"covr, RUnit, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"robvis","robvis","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.0",NA,"R (>= 2.10)","ggplot2, tidyr, scales",NA,"knitr, rmarkdown, covr, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"ROCR","ROCR","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-11",NA,"R (>= 3.6)","methods, graphics, grDevices, gplots, stats",NA,"testthat, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"roxygen2","roxygen2","C:/Users/zhouy/AppData/Local/R/win-library/4.4","7.3.2",NA,"R (>= 3.6)","brew, cli (>= 3.3.0), commonmark, desc (>= 1.2.0), knitr,
methods, pkgload (>= 1.0.2), purrr (>= 1.0.0), R6 (>= 2.1.2),
rlang (>= 1.0.6), stringi, stringr (>= 1.0.0), utils, withr,
xml2","cpp11","covr, R.methodsS3, R.oo, rmarkdown (>= 2.16), testthat (>=
3.1.2), yaml",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"rpart","rpart","C:/Users/zhouy/AppData/Local/R/win-library/4.4","4.1.23","recommended","R (>= 2.15.0), graphics, stats, grDevices",NA,NA,"survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.4.1"
"rprojroot","rprojroot","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.4",NA,"R (>= 3.0.0)",NA,NA,"covr, knitr, lifecycle, mockr, rlang, rmarkdown, testthat (>=
3.0.0), withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"rsample","rsample","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.1",NA,"R (>= 3.6)","cli, dplyr (>= 1.1.1), furrr, generics, glue, lifecycle,
methods, pillar, purrr (>= 1.0.0), rlang (>= 0.4.10), slider
(>= 0.1.5), tibble, tidyr, tidyselect, vctrs (>= 0.5.0)",NA,"broom, covr, ggplot2, knitr, modeldata, recipes (>= 0.1.4),
rmarkdown, stats, testthat (>= 3.0.0), utils, whisker, withr,
xml2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"rsconnect","rsconnect","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.3",NA,"R (>= 3.5.0)","cli, curl, digest, jsonlite, lifecycle, openssl (>= 2.0.0),
PKI, packrat (>= 0.6), renv (>= 1.0.0), rlang (>= 1.0.0),
rstudioapi (>= 0.5), tools, yaml (>= 2.1.5)",NA,"Biobase, BiocManager, foreign, knitr, MASS, plumber (>=
0.3.2), quarto, RCurl, reticulate, rmarkdown (>= 1.1), shiny,
testthat (>= 3.1.9), webfakes, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.2"
"RSpectra","RSpectra","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.16-2",NA,"R (>= 3.0.2)","Matrix (>= 1.1-0), Rcpp (>= 0.11.5)","Rcpp, RcppEigen (>= 0.3.3.3.0)","knitr, rmarkdown, prettydoc",NA,"MPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"RSQLite","RSQLite","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.3.9",NA,"R (>= 3.1.0)","bit64, blob (>= 1.2.0), DBI (>= 1.2.0), memoise, methods,
pkgconfig, rlang","plogr (>= 0.2.0), cpp11 (>= 0.4.0)","callr, cli, DBItest (>= 1.8.0), decor, gert, gh, hms, knitr,
magrittr, rmarkdown, rvest, testthat (>= 3.0.0), withr, xml2",NA,"LGPL (>= 2.1)",NA,NA,NA,NA,"yes","4.4.2"
"rstan","rstan","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.32.6",NA,"R (>= 3.4.0), StanHeaders (>= 2.32.0)","methods, stats4, inline (>= 0.3.19), gridExtra (>= 2.3), Rcpp
(>= 1.0.7), RcppParallel (>= 5.1.4), loo (>= 2.4.1), pkgbuild
(>= 1.2.0), QuickJSR, ggplot2 (>= 3.3.5)","Rcpp (>= 1.0.7), RcppEigen (>= 0.3.4.0.0), BH (>= 1.75.0-0),
StanHeaders (>= 2.32.0), RcppParallel (>= 5.1.4)","testthat (>= 3.0.4), parallel, KernSmooth, shinystan,
bayesplot, rmarkdown, rstantools, rstudioapi, Matrix, knitr,
coda, V8",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"rstantools","rstantools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.4.0",NA,NA,"desc, stats, utils, Rcpp (>= 0.12.16), RcppParallel (>= 5.0.1)",NA,"rstan (>= 2.17.2), usethis (>= 1.5.1), testthat (>= 2.0.0),
knitr, pkgbuild, pkgload, roxygen2 (>= 6.0.1), rmarkdown,
rstudioapi",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"rstatix","rstatix","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.7.2",NA,"R (>= 3.3.0)","stats, utils, tidyr (>= 1.0.0), purrr, broom (>= 0.7.4), rlang
(>= 0.3.1), tibble (>= 2.1.3), dplyr (>= 0.7.1), magrittr,
corrplot, tidyselect (>= 1.2.0), car, generics (>= 0.0.2)",NA,"knitr, rmarkdown, ggpubr, graphics, emmeans, coin, boot,
testthat, spelling",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"rstudioapi","rstudioapi","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.17.1",NA,NA,NA,NA,"testthat, knitr, rmarkdown, clipr, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"rsvd","rsvd","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.5",NA,"R (>= 4.0.0)","Matrix",NA,"ggplot2, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.1"
"Rtsne","Rtsne","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.17",NA,NA,"Rcpp (>= 0.11.0), stats","Rcpp","irlba, testthat",NA,"file LICENSE","yes",NA,NA,NA,"yes","4.4.1"
"Rttf2pt1","Rttf2pt1","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.12",NA,"R (>= 2.15)",NA,NA,NA,NA,"file LICENSE","yes",NA,NA,NA,"yes","4.4.0"
"rversions","rversions","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.2",NA,NA,"curl, utils, xml2 (>= 1.0.0)",NA,"covr, mockery, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"rvest","rvest","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.4",NA,"R (>= 3.6)","cli, glue, httr (>= 0.5), lifecycle (>= 1.0.3), magrittr,
rlang (>= 1.1.0), selectr, tibble, xml2 (>= 1.3)",NA,"chromote, covr, knitr, R6, readr, repurrrsive, rmarkdown,
spelling, stringi (>= 0.3.1), testthat (>= 3.0.2), webfakes",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"s2","s2","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.7",NA,"R (>= 3.0.0)","Rcpp, wk (>= 0.6.0)","Rcpp, wk","bit64, testthat (>= 3.0.0), vctrs",NA,"Apache License (== 2.0)",NA,NA,NA,NA,"yes","4.4.1"
"S4Arrays","S4Arrays","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.6.0",NA,"R (>= 4.3.0), methods, Matrix, abind, BiocGenerics (>=
0.45.2), S4Vectors, IRanges","stats, crayon","S4Vectors","BiocParallel, SparseArray (>= 0.0.4), DelayedArray, testthat,
knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"S4Vectors","S4Vectors","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.44.0",NA,"R (>= 4.0.0), methods, utils, stats, stats4, BiocGenerics (>=
0.37.0)",NA,NA,"IRanges, GenomicRanges, SummarizedExperiment, Matrix,
DelayedArray, ShortRead, graph, data.table, RUnit, BiocStyle,
knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.4.1"
"sandwich","sandwich","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.1-1",NA,"R (>= 3.0.0)","stats, utils, zoo",NA,"AER, car, geepack, lattice, lme4, lmtest, MASS, multiwayvcov,
parallel, pcse, plm, pscl, scatterplot3d, stats4, strucchange,
survival",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"no","4.4.2"
"sass","sass","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.9",NA,NA,"fs (>= 1.2.4), rlang (>= 0.4.10), htmltools (>= 0.5.1), R6,
rappdirs",NA,"testthat, knitr, rmarkdown, withr, shiny, curl",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"scales","scales","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.3.0",NA,"R (>= 3.6)","cli, farver (>= 2.0.3), glue, labeling, lifecycle, munsell (>=
0.5), R6, RColorBrewer, rlang (>= 1.0.0), viridisLite",NA,"bit64, covr, dichromat, ggplot2, hms (>= 0.5.0), stringi,
testthat (>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"scattermore","scattermore","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2",NA,NA,"ggplot2, scales, grid, grDevices, graphics",NA,"covr, knitr, rmarkdown, testthat",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"sctransform","sctransform","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.1",NA,"R (>= 3.6.0)","dplyr, magrittr, MASS, Matrix (>= 1.5-0), methods,
future.apply, future, ggplot2, reshape2, rlang, gridExtra,
matrixStats","RcppArmadillo, Rcpp (>= 0.11.0)","irlba, testthat, knitr","glmGamPoi","GPL-3 | file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"segmented","segmented","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1-3",NA,"R (>= 3.5.0), MASS, nlme",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.4.2"
"selectr","selectr","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4-2",NA,"R (>= 3.0)","methods, stringr, R6",NA,"testthat, XML, xml2",NA,"BSD_3_clause + file LICENCE",NA,NA,NA,NA,"no","4.4.1"
"sessioninfo","sessioninfo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.2",NA,"R (>= 2.10)","cli (>= 3.1.0), tools, utils",NA,"callr, covr, mockery, reticulate, rmarkdown, testthat, withr",NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"Seurat","Seurat","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.1.0",NA,"R (>= 4.0.0), methods, SeuratObject (>= 5.0.2)","cluster, cowplot, fastDummies, fitdistrplus, future,
future.apply, generics (>= 0.1.3), ggplot2 (>= 3.3.0), ggrepel,
ggridges, graphics, grDevices, grid, httr, ica, igraph, irlba,
jsonlite, KernSmooth, leiden (>= 0.3.1), lifecycle, lmtest,
MASS, Matrix (>= 1.5-0), matrixStats, miniUI, patchwork,
pbapply, plotly (>= 4.9.0), png, progressr, purrr, RANN,
RColorBrewer, Rcpp (>= 1.0.7), RcppAnnoy (>= 0.0.18), RcppHNSW,
reticulate, rlang, ROCR, RSpectra, Rtsne, scales, scattermore
(>= 1.2), sctransform (>= 0.4.1), shiny, spatstat.explore,
spatstat.geom, stats, tibble, tools, utils, uwot (>= 0.1.10)","Rcpp (>= 0.11.0), RcppEigen, RcppProgress","ape, arrow, BPCells, rsvd, testthat, hdf5r, S4Vectors,
SummarizedExperiment, SingleCellExperiment, MAST, DESeq2,
BiocGenerics, GenomicRanges, GenomeInfoDb, IRanges,
rtracklayer, Rfast2, monocle, Biobase, VGAM, limma, metap,
enrichR, mixtools, ggrastr, data.table, R.utils, presto,
DelayedArray, harmony",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"SeuratObject","SeuratObject","C:/Users/zhouy/AppData/Local/R/win-library/4.4","5.0.2",NA,"R (>= 4.1.0), sp (>= 1.5.0)","future, future.apply, grDevices, grid, Matrix (>= 1.6.4),
methods, progressr, Rcpp (>= 1.0.5), rlang (>= 0.4.7), stats,
tools, utils, spam, lifecycle, generics","Rcpp, RcppEigen","DelayedArray, fs (>= 1.5.2), ggplot2, HDF5Array, rmarkdown,
testthat, BPCells, sf (>= 1.0.0)","Seurat","MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"sf","sf","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0-19",NA,"methods, R (>= 3.3.0)","classInt (>= 0.4-1), DBI (>= 0.8), graphics, grDevices, grid,
magrittr, s2 (>= 1.1.0), stats, tools, units (>= 0.7-0), utils","Rcpp","blob, nanoarrow, covr, dplyr (>= 1.0.0), ggplot2, knitr,
lwgeom (>= 0.2-14), maps, mapview, Matrix, microbenchmark,
odbc, pbapply, pillar, pool, raster, rlang, rmarkdown,
RPostgres (>= 1.1.0), RPostgreSQL, RSQLite, sp (>= 1.2-4),
spatstat (>= 2.0-1), spatstat.geom, spatstat.random,
spatstat.linnet, spatstat.utils, stars (>= 0.2-0), terra,
testthat (>= 3.0.0), tibble (>= 1.4.1), tidyr (>= 1.2.0),
tidyselect (>= 1.0.0), tmap (>= 2.0), vctrs, wk (>= 0.9.0)",NA,"GPL-2 | MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"sfsmisc","sfsmisc","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1-20",NA,"R (>= 3.3.0)","grDevices, utils, stats, tools",NA,"datasets, tcltk, cluster, lattice, MASS, Matrix, nlme,
lokern, Rmpfr, gmp","mgcv, rpart, nor1mix, polycor, sm, tikzDevice, DescTools,
e1071, Hmisc, pastecs, polynom, relevance, robustbase","GPL (>= 2)",NA,NA,NA,NA,"no","4.4.2"
"shape","shape","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.6.1",NA,"R (>= 2.01)","stats, graphics, grDevices",NA,NA,NA,"GPL (>= 3)",NA,NA,NA,NA,"no","4.4.0"
"shiny","shiny","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.9.1",NA,"R (>= 3.0.2), methods","utils, grDevices, httpuv (>= 1.5.2), mime (>= 0.3), jsonlite
(>= 0.9.16), xtable, fontawesome (>= 0.4.0), htmltools (>=
0.5.4), R6 (>= 2.0), sourcetools, later (>= 1.0.0), promises
(>= 1.1.0), tools, crayon, rlang (>= 0.4.10), fastmap (>=
1.1.1), withr, commonmark (>= 1.7), glue (>= 1.3.2), bslib (>=
0.6.0), cachem (>= 1.1.0), lifecycle (>= 0.2.0)",NA,"datasets, DT, Cairo (>= 1.5-5), testthat (>= 3.0.0), knitr
(>= 1.6), markdown, rmarkdown, ggplot2, reactlog (>= 1.0.0),
magrittr, yaml, future, dygraphs, ragg, showtext, sass",NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"shinyAce","shinyAce","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.3",NA,"R (>= 3.3.0)","shiny (>= 1.0.5), jsonlite, utils, tools",NA,"testthat (>= 2.0.0), dplyr (>= 0.8.3)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"shinycssloaders","shinycssloaders","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.1.0",NA,"R (>= 3.1)","digest, glue, grDevices, htmltools (>= 0.3.5), shiny",NA,"knitr, shinydisconnect, shinyjs",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"shinyjqui","shinyjqui","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4.1",NA,"R (>= 3.2.0)","shiny (>= 1.5.0), htmltools, htmlwidgets, jsonlite, rlang",NA,"ggplot2, highcharter, knitr, markdown, rmarkdown, plotly",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.2"
"shinyjs","shinyjs","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1.0",NA,"R (>= 3.1.0)","digest (>= 0.6.8), jsonlite, shiny (>= 1.0.0)",NA,"htmltools (>= 0.2.9), knitr (>= 1.7), rmarkdown, shinyAce,
shinydisconnect, testthat (>= 0.9.1)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"shinyMatrix","shinyMatrix","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8.0",NA,"R (>= 3.5)","shiny, jsonlite",NA,"testthat, covr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"shinythemes","shinythemes","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.2.0",NA,"R (>= 3.0.0)","shiny (>= 0.11)",NA,NA,NA,"GPL-3 | file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"shinyWidgets","shinyWidgets","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.8.7",NA,"R (>= 3.1.0)","bslib, sass, shiny (>= 1.6.0), htmltools (>= 0.5.1), jsonlite,
grDevices, rlang",NA,"testthat, covr, ggplot2, DT, scales, shinydashboard,
shinydashboardPlus",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.2"
"showtext","showtext","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.9-7",NA,"sysfonts (>= 0.7.1), showtextdb (>= 2.0)","grDevices",NA,"knitr, rmarkdown, prettydoc, curl, jsonlite",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"yes","4.4.1"
"showtextdb","showtextdb","C:/Users/zhouy/AppData/Local/R/win-library/4.4","3.0",NA,NA,"sysfonts (>= 0.7), utils",NA,"curl",NA,"Apache License (>= 2.0)",NA,NA,NA,NA,"no","4.4.1"
"sigmoid","sigmoid","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.4.0",NA,"R (>= 3.2.2)",NA,NA,"covr, knitr, rmarkdown, ggplot2, testthat",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"simsurv","simsurv","C:/Users/zhouy/AppData/Local/R/win-library/4.4","1.0.0",NA,"R (>= 3.3.0)","methods, stats",NA,"BB (>= 2014.10.1), eha (>= 2.4.5), flexsurv (>= 1.1.0), knitr
(>= 1.15.1), MASS, rmarkdown, rstpm2 (>= 1.4.1), survival (>=
2.40.1), testthat (>= 1.0.2)",NA,"GPL (>= 3) | file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"SINGLESAMPLE","SINGLESAMPLE","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.0",NA,"numDeriv",NA,NA,NA,NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"sitmo","sitmo","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.0.2",NA,"R (>= 3.2.0)","Rcpp (>= 0.12.13)","Rcpp","knitr, rmarkdown, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"slam","slam","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1-55",NA,"R (>= 3.4.0)","stats",NA,NA,"Matrix, SparseM, spam","GPL-2",NA,NA,NA,NA,"yes","4.4.2"
"slider","slider","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.3.2",NA,"R (>= 4.0.0)","cli (>= 3.6.1), rlang (>= 1.1.1), vctrs (>= 0.6.3), warp","vctrs (>= 0.6.3)","covr, dplyr (>= 1.0.0), knitr, lubridate, rmarkdown, testthat
(>= 3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"smcure","smcure","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1",NA,"survival, stats, graphics",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.4.1"
"sna","sna","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.8",NA,"R (>= 2.0.0), utils, statnet.common, network",NA,NA,"rgl, numDeriv, SparseM",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.2"
"snow","snow","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.4-4",NA,"R (>= 2.13.1), utils",NA,NA,"rlecuyer","Rmpi","GPL",NA,NA,NA,NA,"no","4.4.0"
"sourcetools","sourcetools","C:/Users/zhouy/AppData/Local/R/win-library/4.4","0.1.7-1",NA,"R (>= 3.0.2)",NA,NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.1"
"sp","sp","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.1-4",NA,"R (>= 3.5.0), methods","utils, stats, graphics, grDevices, lattice, grid",NA,"RColorBrewer, gstat, deldir, knitr, rmarkdown, sf, terra,
raster",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"spam","spam","C:/Users/zhouy/AppData/Local/R/win-library/4.4","2.11-0",NA,"R (>= 4.0)","dotCall64, grid, methods, Rcpp (>= 1.0.8.3)","Rcpp","spam64, fields, Matrix, testthat, R.rsp, truncdist, knitr,
rmarkdown",NA,"LGPL-2 | BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
